warm = repeated-launch (L2-inflated if W < ~96 MB); flushed = DRAM-honest (256 MB eviction between samples)
== QKV fused    N=4096 K=2048 | W=33.6 MB ==
  M=  1 | rung1 warm    798.1 flushed    808.3 | rung2 warm   2976.1 flushed   2977.1 us (  0.21 TFLOPS,   0.2% FFMA,   418 GB/s) | speedup(flushed)  0.27 | tf-gain  0.27
  M=  2 | rung1 warm    802.6 flushed    806.5 | rung2 warm   2917.0 flushed   2917.5 us (  0.43 TFLOPS,   0.4% FFMA,   427 GB/s) | speedup(flushed)  0.28 | tf-gain  0.28
  M=  4 | rung1 warm    804.3 flushed    857.1 | rung2 warm   3097.1 flushed   2832.8 us (  0.88 TFLOPS,   0.8% FFMA,   440 GB/s) | speedup(flushed)  0.30 | tf-gain  0.30
  M=  8 | rung1 warm    765.7 flushed    769.4 | rung2 warm   2798.8 flushed   2802.6 us (  1.78 TFLOPS,   1.6% FFMA,   446 GB/s) | speedup(flushed)  0.27 | tf-gain  0.27
  M= 16 | rung1 warm   1151.9 flushed   1186.0 | rung2 warm   2836.5 flushed   2941.0 us (  3.39 TFLOPS,   3.0% FFMA,   427 GB/s) | speedup(flushed)  0.40 | tf-gain  0.40
  M= 32 | rung1 warm   5801.5 flushed   5822.1 | rung2 warm   3435.2 flushed   3429.6 us (  5.81 TFLOPS,   5.2% FFMA,   369 GB/s) | speedup(flushed)  1.70 | tf-gain  1.70
  M= 64 | rung1 warm  12797.1 flushed  12921.4 | rung2 warm   3525.1 flushed   3455.8 us ( 11.53 TFLOPS,  10.3% FFMA,   372 GB/s) | speedup(flushed)  3.74 | tf-gain  3.74
  M=128 | rung1 warm  27948.3 flushed  27855.6 | rung2 warm   4035.1 flushed   3882.9 us ( 20.52 TFLOPS,  18.4% FFMA,   341 GB/s) | speedup(flushed)  7.17 | tf-gain  7.17
  M=256 | rung1 warm  56541.1 flushed  56222.7 | rung2 warm   7696.2 flushed   7711.9 us ( 20.66 TFLOPS,  18.5% FFMA,   182 GB/s) | speedup(flushed)  7.29 | tf-gain  7.29
  M=512 | rung1 warm 111915.3 flushed 130643.6 | rung2 warm  16665.5 flushed  16529.6 us ( 19.28 TFLOPS,  17.3% FFMA,    94 GB/s) | speedup(flushed)  7.90 | tf-gain  7.90
